epoch,caudal,eyeL,eyeR,head,loss,lr,nose,spine1,spine2,tail,val_caudal,val_eyeL,val_eyeR,val_head,val_loss,val_nose,val_spine1,val_spine2,val_tail
0,0.011378544382750988,0.009098421782255173,0.008977542631328106,0.005117891822010279,0.009653032757341862,1e-04,0.011824370361864567,0.010256857611238956,0.015724176540970802,0.004846482537686825,0.010123350657522678,0.006590912584215403,0.006066572852432728,0.001727211638353765,0.007206562906503677,0.008990183472633362,0.006789614446461201,0.01323266513645649,0.004131986293941736
1,0.010926635004580021,0.00550434784963727,0.005418574437499046,0.0010670385090634227,0.006372054107487202,1e-04,0.0078085665591061115,0.005325347185134888,0.010372665710747242,0.004553271923214197,0.009334789589047432,0.005029638297855854,0.005374030210077763,0.0010765325278043747,0.00579706160351634,0.0074372864328324795,0.004811191000044346,0.009363466873764992,0.003949555568397045
2,0.009986797347664833,0.00450621685013175,0.004445956088602543,0.001000246498733759,0.004996094387024641,1e-04,0.00561229232698679,0.00343704828992486,0.006346289999783039,0.0046339090913534164,0.008498389273881912,0.0030896696262061596,0.0031598899513483047,0.0013803249457851052,0.004169743973761797,0.004187408834695816,0.0033258027397096157,0.005966984201222658,0.0037494830321520567
3,0.007509787566959858,0.0027648096438497305,0.00272167706862092,0.0008372929878532887,0.0035653954837471247,1e-04,0.0034037402365356684,0.0027830961626023054,0.004472376313060522,0.004030385985970497,0.006170765962451696,0.0014424046967178583,0.0016158036887645721,0.000562331872060895,0.003038269467651844,0.0034523867070674896,0.0031124099623411894,0.004989512264728546,0.002960538025945425
4,0.005550897214561701,0.0021696456242352724,0.0020709871314466,0.0008418214274570346,0.0028449841775000095,1e-04,0.0025707182940095663,0.0023753256537020206,0.003807969158515334,0.0033725008834153414,0.004402573220431805,0.0013239496620371938,0.0013240345288068056,0.0005102079012431204,0.002485334174707532,0.003100091125816107,0.0025818152353167534,0.004111029673367739,0.00252896873280406
5,0.0043135941959917545,0.001810836954973638,0.001779598998837173,0.0006294187624007463,0.0023035819176584482,1e-04,0.00190517189912498,0.0018502199091017246,0.0031661209650337696,0.002973688766360283,0.004040868021547794,0.0011154258390888572,0.001270110486075282,0.0005103051080368459,0.002228399971500039,0.002091283444315195,0.0024265428073704243,0.003955159801989794,0.0024175019934773445
6,0.003729691728949547,0.0015420482959598303,0.0015132991829887033,0.0003971115220338106,0.0020023598335683346,1e-04,0.0014688675291836262,0.0016268598847091198,0.0028937587048858404,0.0028472444973886013,0.002981706755235791,0.0010319845750927925,0.001009842031635344,0.0003148555406369269,0.0017934866482391953,0.001668834825977683,0.0020475047640502453,0.003264622064307332,0.0020285416394472122
7,0.003311755368486047,0.0015327819855883718,0.0015046877088025212,0.00038061768282204866,0.0018394619692116976,1e-04,0.001384839415550232,0.0014418617356568575,0.002606712281703949,0.002552436199039221,0.003247398417443037,0.0008805657853372395,0.0008924075518734753,0.00038129877066239715,0.0017309306422248483,0.0015981622273102403,0.0017455127090215683,0.003076610853895545,0.0020254875998944044
8,0.003173161530867219,0.0013647748855873942,0.0013288649497553706,0.00037310729385353625,0.0017154954839497805,1e-04,0.0011995467357337475,0.0013534900499507785,0.002467615297064185,0.002463403157889843,0.0027076348196715117,0.0007746982737444341,0.000780530390329659,0.00033859629184007645,0.0015990613028407097,0.0014351983554661274,0.0017781708156690001,0.002939940895885229,0.002037720289081335
9,0.0028985911048948765,0.0014323469949886203,0.001377627719193697,0.0002703128266148269,0.001631809864193201,1e-04,0.0011114284861832857,0.0012207521358504891,0.0022513719741255045,0.0024920443538576365,0.0025462571065872908,0.0009106306242756546,0.0008875797502696514,0.0002389283326920122,0.0015378190437331796,0.0014346939278766513,0.0016718811821192503,0.0027145748026669025,0.0018980063032358885
