Observation id,Behavior,Start (s),Stop (s),Comment start
20230331_WT031623_26dpf_25fps,C,638.325,638.325,
20230331_WT031623_26dpf_25fps,C,649.279,649.279,
20230331_WT031623_26dpf_25fps,S,659.976,659.976,
20230331_WT031623_26dpf_25fps,S,677.581,677.581,FRAMES FROM THIS SPOT RIGHT HERE
20230331_WT031623_26dpf_25fps,X,680.88,680.88,
20230331_WT031623_26dpf_25fps,S,695.88,695.88,
20230331_WT031623_26dpf_25fps,C,703.706,703.706,
20230331_WT031623_26dpf_25fps,S,728.655,728.655,
20230331_WT031623_26dpf_25fps,X,733.104,733.104,
20230331_WT031623_26dpf_25fps,C,745.78,745.78,
20230331_WT031623_26dpf_25fps,X,750.325,750.325,
20230331_WT031623_26dpf_25fps,C,763.076,763.076,
20230331_WT031623_26dpf_25fps,C,776.253,776.253,
20230331_WT031623_26dpf_25fps,S,794.981,794.981,
20230331_WT031623_26dpf_25fps,X,802.381,802.381,
20230331_WT031623_26dpf_25fps,X,805.28,805.28,
20230331_WT031623_26dpf_25fps,C,809.375,809.375,
20230331_WT031623_26dpf_25fps,X,813.077,813.077,
20230331_WT031623_26dpf_25fps,E,815.101,815.101,TAKE FRAMES
20230331_WT031623_26dpf_25fps,C,837.029,837.029,
20230331_WT031623_26dpf_25fps,C,854.08,854.08,
20230331_WT031623_26dpf_25fps,C,865.556,865.556,
20230331_WT031623_26dpf_25fps,C,869.28,869.28,
20230331_WT031623_26dpf_25fps,S,877.925,877.925,
20230331_WT031623_26dpf_25fps,X,880.375,880.375,
20230331_WT031623_26dpf_25fps,C,885.357,885.357,
20230331_WT031623_26dpf_25fps,C,895.056,895.056,
20230331_WT031623_26dpf_25fps,C,896.656,896.656,
20230331_WT031623_26dpf_25fps,C,902.4,902.4,
20230331_WT031623_26dpf_25fps,X,923.052,923.052,
20230331_WT031623_26dpf_25fps,S,929.556,929.556,
20230331_WT031623_26dpf_25fps,X,933.38,933.38,
20230331_WT031623_26dpf_25fps,B,950.53,950.53,?
20230331_WT031623_26dpf_25fps,S,963.703,963.703,
20230331_WT031623_26dpf_25fps,X,986.048,986.048,
20230331_WT031623_26dpf_25fps,C,994.725,994.725,
20230331_WT031623_26dpf_25fps,X,1007.578,1007.578,
20230331_WT031623_26dpf_25fps,S,1037.8,1037.8,
20230331_WT031623_26dpf_25fps,L,1043.175,1043.175,
20230331_WT031623_26dpf_25fps,C,1047.048,1047.048,
20230331_WT031623_26dpf_25fps,C,1055.501,1055.501,
