"","frame","nodetrackid","nodes","track","x","y","Behavior","distance","velocity_mmpersec","second","ChaseID","timereset"
"1",915,4,"head",0,422.533572387695,272.836645507813,NA,0.00267989934487481,0.0669974836218701,36.6,1,1
"2",916,4,"head",0,422.305218505859,272.830737304688,NA,0.228388788700195,5.70971971750486,36.64,1,2
"3",917,4,"head",0,422.079135131836,272.830102539063,NA,0.226083776950404,5.65209442376011,36.68,1,3
"4",918,4,"head",0,422.074795532227,272.827529907227,NA,0.0043462180435746,0.108655451089365,36.72,1,4
"5",919,4,"head",0,422.072680664063,272.830374145508,NA,0.00212295785537066,0.0530739463842664,36.76,1,5
"6",920,4,"head",0,422.070770263672,272.830416870117,NA,0.00191040221640375,0.0477600554100937,36.8,1,6
"7",921,4,"head",0,421.843304443359,272.831610107422,NA,0.227467244128266,5.68668110320666,36.84,1,7
"8",922,4,"head",0,421.843002319336,272.834127807617,NA,0.000308462837265881,0.00771157093164701,36.88,1,8
"9",923,4,"head",0,421.839331054688,272.83083190918,NA,0.00368212759451243,0.0920531898628108,36.92,1,9
"10",924,4,"head",0,421.609619140625,272.827526855469,NA,0.229722837443022,5.74307093607554,36.96,1,10
"11",925,4,"head",0,421.608911132813,272.829354858399,NA,0.000711349406734542,0.0177837351683636,37,1,11
"12",926,4,"head",0,421.609216308594,272.834716796875,NA,0.000333926165243338,0.00834815413108344,37.04,1,12
"13",927,4,"head",0,421.606365966797,272.831103515625,NA,0.00286339759839174,0.0715849399597935,37.08,1,13
"14",928,4,"head",0,421.608569335938,272.834323120117,NA,0.00221373499408518,0.0553433748521296,37.12,1,14
"15",929,4,"head",0,421.609408569336,272.835079956055,NA,0.000839806198619767,0.0209951549654942,37.16,1,15
"16",930,4,"head",0,421.384332275391,272.835473632813,NA,0.225076448926384,5.6269112231596,37.2,1,16
"17",931,4,"head",0,421.385629272461,272.838711547852,NA,0.00130748116382803,0.0326870290957007,37.24,1,17
"18",932,4,"head",0,421.388528442383,272.842337036133,NA,0.00291231408726468,0.0728078521816171,37.28,1,18
"19",933,4,"head",0,421.391564941406,272.847207641602,NA,0.00306022182061707,0.0765055455154269,37.32,1,19
"20",934,4,"head",0,421.394689941406,272.851922607422,NA,0.0031472309026954,0.0786807725673851,37.36,1,20
"21",935,4,"head",0,421.396871948242,272.854406738281,NA,0.00218817774211892,0.0547044435529731,37.4,1,21
"22",936,4,"head",0,421.398950195313,272.855081176758,NA,0.00207870193824252,0.051967548456063,37.44,1,22
"23",937,4,"head",0,421.628668212891,272.856823730469,NA,0.229721054071458,5.74302635178646,37.48,1,23
"24",938,4,"head",0,421.858486938477,272.856460571289,NA,0.229818857470562,5.74547143676404,37.52,1,24
"25",939,4,"head",0,422.086074829102,272.853625488281,NA,0.227595928320708,5.68989820801769,37.56,1,25
"26",940,4,"head",0,422.311712646484,272.848489379883,"C",0.22566419699147,5.64160492478675,37.6,1,26
"27",941,4,"head",0,422.537051391602,272.841744995117,NA,0.225384231843867,5.63460579609667,37.64,1,27
"28",942,4,"head",0,422.762289428711,272.836782836914,NA,0.225262660122997,5.63156650307493,37.68,1,28
"29",943,4,"head",0,422.988064575195,272.833361816406,NA,0.225786849865327,5.64467124663318,37.72,1,29
"30",944,4,"head",0,423.21520690918,272.830334472656,NA,0.227151498795181,5.67878746987953,37.76,1,30
"31",945,4,"head",0,423.443817138672,272.831359863281,NA,0.22861128091794,5.71528202294849,37.8,1,31
"32",946,4,"head",0,423.668399047852,272.828619384766,NA,0.224589419402508,5.61473548506271,37.84,1,32
"33",947,4,"head",0,423.44035949707,272.828625488281,NA,0.228039550819253,5.70098877048133,37.88,1,33
"34",948,4,"head",0,423.210452270508,272.828588867188,NA,0.229907227903138,5.74768069757846,37.92,1,34
"35",949,4,"head",0,422.983154296875,272.829760742188,NA,0.227299346923987,5.68248367309968,37.96,1,35
"36",950,4,"head",0,422.756036376953,272.83137512207,NA,0.227120526144426,5.67801315361066,38,1,36
"37",951,4,"head",0,422.528765869141,272.835446166992,NA,0.227287081218723,5.68217703046807,38.04,1,37
"38",952,4,"head",0,422.301910400391,272.839334106445,NA,0.226870584823179,5.67176462057946,38.08,1,38
"39",953,4,"head",0,422.074871826172,272.841827392578,NA,0.227044790694764,5.6761197673691,38.12,1,39
"40",954,4,"head",0,421.847308349609,272.844348144531,NA,0.227569830753386,5.68924576883465,38.16,1,40
"41",955,4,"head",0,421.843899536133,272.840444946289,NA,0.00342404843254475,0.0856012108136186,38.2,1,41
"42",956,4,"head",0,421.843768310547,272.839117431641,NA,0.00013298788115769,0.00332469702894224,38.24,1,42
"43",957,4,"head",0,422.069592285156,272.837200927734,NA,0.225827647596225,5.64569118990564,38.28,1,43
"44",958,4,"head",0,422.297079467773,272.837463378906,NA,0.227487251497657,5.68718128744144,38.32,1,44
"45",959,4,"head",0,422.523333740234,272.837274169922,NA,0.226254308261045,5.65635770652613,38.36,1,45
"46",960,4,"head",0,422.749935913086,272.837860107422,NA,0.226602516174737,5.66506290436843,38.4,1,46
"47",961,4,"head",0,422.977114868164,272.837420654297,NA,0.227179148197038,5.67947870492594,38.44,1,47
"48",962,4,"head",0,423.20368347168,272.836294555664,NA,0.226569871614131,5.66424679035328,38.48,1,48
"49",963,4,"head",0,423.430288696289,272.832745361328,NA,0.226617821389423,5.66544553473557,38.52,1,49
"50",964,4,"head",0,423.655850219727,272.82844543457,NA,0.225580012808113,5.63950032020282,38.56,1,50
"51",965,4,"head",0,423.656076049805,272.826541137695,NA,0.00022945642461086,0.0057364106152715,38.6,1,51
