epoch,caudal,eyeL,eyeR,head,loss,lr,nose,spine1,spine2,tail,val_caudal,val_eyeL,val_eyeR,val_head,val_loss,val_nose,val_spine1,val_spine2,val_tail
0,0.01685471087694168,0.0068735177628695965,0.006843456532806158,0.004737763199955225,0.01059025153517723,1e-04,0.009523801505565643,0.008721510879695415,0.014748227782547474,0.016419004648923874,0.016582848504185677,0.0038754164706915617,0.003957307431846857,0.0009927242062985897,0.008561583235859871,0.006988103501498699,0.006545703858137131,0.012975792400538921,0.016574768349528313
1,0.01565062813460827,0.0030996541026979685,0.0031251246109604836,0.0007514235912822187,0.007214454002678394,1e-04,0.005804616026580334,0.004098085220903158,0.00949208065867424,0.01569399982690811,0.013186614029109478,0.002850607503205538,0.0026160927955061197,0.0010292947990819812,0.005995757877826691,0.005001148674637079,0.0029036623891443014,0.005468161776661873,0.014910477213561535
2,0.01178213395178318,0.0025208836887031794,0.002557832980528474,0.000873206474352628,0.0052852146327495575,1e-04,0.003994136117398739,0.0024950921069830656,0.004913780372589827,0.013144654221832752,0.010509044863283634,0.0024168738164007664,0.0019019186729565263,0.0006296045030467212,0.004706346895545721,0.0037970193661749363,0.0021891193464398384,0.0044896723702549934,0.01171752531081438
3,0.0072473930194973946,0.0015093258116394281,0.0016143834218382835,0.0005325358361005783,0.003289710497483611,1e-04,0.002329774433746934,0.0015105492202565074,0.0027143696788698435,0.008859370835125446,0.008273230865597725,0.001320589566603303,0.0012095265556126833,0.0003507590154185891,0.003623249474912882,0.0022570383735001087,0.0017783170333132148,0.004463611636310816,0.009332923218607903
4,0.004860617686063051,0.000872283591888845,0.000979298842139542,0.0004249156336300075,0.0022555890027433634,1e-04,0.0014731904957443476,0.001065669464878738,0.0019417840521782637,0.006426945794373751,0.006445378065109253,0.0010652519995346665,0.0013374628033488989,0.00024962934548966587,0.002913767471909523,0.0026157174725085497,0.0009996434673666954,0.002581612905487418,0.008015445433557034
5,0.003957530949264765,0.0006774169160053134,0.0007526103290729225,0.0004306214686948806,0.0018182833446189761,1e-04,0.0011906169820576906,0.0008297456079162657,0.0015239045023918152,0.005183826666325331,0.006271007005125284,0.001056022709235549,0.0009782097768038511,0.0002264470822410658,0.002874748781323433,0.0020553511567413807,0.001508216722868383,0.0035620436538010836,0.007340691983699799
6,0.002895727753639221,0.00045463372953236103,0.0004916372708976269,0.00029671622905880213,0.001327792415395379,1e-04,0.0007640299154445529,0.00059482641518116,0.001116040162742138,0.004008728079497814,0.006914595607668161,0.0009914424736052752,0.001112174242734909,0.00027045380556955934,0.0031434032134711742,0.001950254081748426,0.0019184297416359186,0.004413465969264507,0.007576414849609137
7,0.00251629832200706,0.000376859272364527,0.00040103879291564226,0.0002484807919245213,0.001128638512454927,1e-04,0.0006115373107604682,0.0005206016940064728,0.0009863694431260228,0.003367924364283681,0.006838114466518164,0.0008054873906075954,0.0007935612229630351,0.0001549626758787781,0.002733201254159212,0.0016131385928019881,0.001267643878236413,0.0030604428611695766,0.007332256995141506
8,0.0018168016104027629,0.00030259773484431207,0.00031951686833053827,0.00020133018551860005,0.0008478555828332901,1e-04,0.00047345395432785153,0.0004211914783809334,0.0007544037653133273,0.0024935489054769278,0.005681090988218784,0.0011374418390914798,0.0010477739851921797,0.00015848300245124847,0.0026874064933508635,0.00227175815962255,0.0015570062678307295,0.002887058537453413,0.006758637726306915
9,0.0015099431620910764,0.00028242290136404335,0.00029250470106489956,0.00019340295693837106,0.0007344412733800709,1e-04,0.00044251602957956493,0.00038807670352980494,0.0006644378881901503,0.0021022267173975706,0.005598383489996195,0.0010110188741236925,0.0010957899503409863,0.0001409768738085404,0.002643974730744958,0.002111750654876232,0.0014437364879995584,0.0030572207178920507,0.006692917551845312
