epoch,caudal,eyeL,eyeR,head,loss,lr,nose,spine1,spine2,tail,val_caudal,val_eyeL,val_eyeR,val_head,val_loss,val_nose,val_spine1,val_spine2,val_tail
0,0.01039130985736847,0.009136836044490337,0.009131604805588722,0.005002103745937347,0.009265061467885971,1e-04,0.011546451598405838,0.010018350556492805,0.014909761026501656,0.003984070383012295,0.009900549426674843,0.006571375764906406,0.006429249420762062,0.001625987351872027,0.006692493334412575,0.008885355666279793,0.005655708722770214,0.010677366517484188,0.003794345771893859
1,0.009989316575229168,0.0054506235755980015,0.005360256880521774,0.0010860000038519502,0.0057986462488770485,1e-04,0.007152335252612829,0.004603284411132336,0.008570704609155655,0.004176654387265444,0.009296012111008167,0.00412371288985014,0.004316851031035185,0.0006816013483330607,0.004594832193106413,0.005088836885988712,0.003098120214417577,0.0062132845632731915,0.003940241411328316
2,0.00823900755494833,0.0036104083992540836,0.003818791825324297,0.0009886285988613963,0.004246792756021023,1e-04,0.004915842320770025,0.0030563261825591326,0.005535959266126156,0.00380936311557889,0.0063644046895205975,0.0016112240264192224,0.0017025807173922658,0.0007398267043754458,0.003019829513505101,0.0029659601859748363,0.002680766163393855,0.004648708272725344,0.003445166628807783
3,0.0060407682321965694,0.0019537927582859993,0.0019319735001772642,0.0006626094691455364,0.002870695199817419,1e-04,0.0028039230965077877,0.0022992920130491257,0.004033208359032869,0.0032400013878941536,0.006406381726264954,0.0011400041403248906,0.001223184634000063,0.0005667497171089053,0.0024675815366208553,0.0020012869499623775,0.0018240736098960042,0.003416685154661536,0.0031622867099940777
4,0.004290163051337004,0.0016794665716588497,0.0015785254072397947,0.0005212435498833656,0.0022477409802377224,1e-04,0.0019879816100001335,0.0019180922536179423,0.0032217437401413918,0.002784711541607976,0.004612330812960863,0.0008882319089025259,0.001043007941916585,0.00031678815139457583,0.001996936509385705,0.001646153163164854,0.0015714296605437994,0.002570765558630228,0.003326782025396824
5,0.003887154394760728,0.0014350906712934375,0.0013470022240653634,0.0004098415083717555,0.001985097536817193,1e-04,0.0015480616129934788,0.0015692970482632518,0.002978629432618618,0.0027057009283453226,0.00391759630292654,0.0010033786529675126,0.001084675663150847,0.00035504178958944976,0.001928736106492579,0.0020352709107100964,0.0017719505121931434,0.002560664899647236,0.0027013099752366543
6,0.0033477279357612133,0.001265092520043254,0.0012762758415192366,0.00037216010969132185,0.00173212552908808,1e-04,0.001274299924261868,0.0014038081280887127,0.0025443723425269127,0.002373267663642764,0.003224408719688654,0.0007487436523661017,0.0007392173283733428,0.0002630524686537683,0.0016082937363535166,0.0013610118767246604,0.0012825117446482182,0.002588703064247966,0.002658701268956065
7,0.0032208103220909834,0.001240566256456077,0.0011983371805399656,0.00030345440609380603,0.00165898771956563,1e-04,0.0012164657237008214,0.0013606669381260872,0.0024098181165754795,0.0023217806592583656,0.0028234384953975677,0.000677805976010859,0.0006619549822062254,0.00020995293743908405,0.0014705510111525655,0.001301298034377396,0.0013204736169427633,0.0023557196836918592,0.0024137641303241253
8,0.0029993331991136074,0.0012164933141320944,0.0011783086229115725,0.00027412173221819103,0.0015757406363263726,1e-04,0.0011596459662541747,0.0012915816623717546,0.002230073558166623,0.0022563680540770292,0.0030036973766982555,0.000891940901055932,0.0006603346555493772,0.00022937325411476195,0.0014577994588762522,0.0010903681395575404,0.0012910808436572552,0.001965201459825039,0.0025303976144641638
9,0.0027876547537744045,0.0011879707453772426,0.0011188907083123922,0.0002836972998920828,0.0015154783613979816,1e-04,0.0010888662654906511,0.0012559611350297928,0.0022291468922048807,0.0021716379560530186,0.0028274059295654297,0.0006038898136466742,0.0006634160527028143,0.00026435815379954875,0.0013470256235450506,0.0010676884558051825,0.0013027861714363098,0.0020267998334020376,0.002019859617576003
