epoch,caudal,eyeL,eyeR,head,loss,lr,nose,spine1,spine2,tail,val_caudal,val_eyeL,val_eyeR,val_head,val_loss,val_nose,val_spine1,val_spine2,val_tail
0,0.011335249990224838,0.006972573697566986,0.007128048222512007,0.002444538753479719,0.00821943674236536,1e-04,0.010191348381340504,0.009461380541324615,0.014481606893241405,0.00374075910076499,0.011786473914980888,0.005057202186435461,0.0049752844497561455,0.0005616919370368123,0.006509729661047459,0.008134747855365276,0.006244630087167025,0.011424599215388298,0.003893208457157016
1,0.008805121295154095,0.003033651737496257,0.0030394140630960464,0.000924979685805738,0.0042480118572711945,1e-04,0.004678440745919943,0.0034780914429575205,0.006580835208296776,0.0034435491543263197,0.008162684738636017,0.002001627115532756,0.0020851194858551025,0.0005070175393484533,0.003601738717406988,0.003025805577635765,0.002975297626107931,0.00649495841935277,0.003561400342732668
2,0.005351216532289982,0.0014900682726874948,0.0014777213800698519,0.00047435984015464783,0.0024270254652947187,1e-04,0.0021128777880221605,0.001968920463696122,0.0037077111192047596,0.002833327278494835,0.004377804230898619,0.0016062484355643392,0.0013911316636949778,0.0006596319144591689,0.002209700644016266,0.0017790163401514292,0.0018727823626250029,0.003266841871663928,0.0027241504285484552
3,0.004289309494197369,0.0011940672993659973,0.00121288001537323,0.0003621003997977823,0.0019849613308906555,1e-04,0.0016510284040123224,0.0016249773325398564,0.002886953530833125,0.0026583781000226736,0.004023286513984203,0.0011071624467149377,0.0010229499312117696,0.0002625080232974142,0.0018402324058115482,0.0015622698701918125,0.0013375914422795177,0.0027223974466323853,0.0026836979668587446
4,0.003797862445935607,0.0010497869225218892,0.0010396881261840463,0.00033622971386648715,0.0017615481046959758,1e-04,0.001405109534971416,0.0013785158516839147,0.0025282667484134436,0.0025569188874214888,0.003687698394060135,0.0010397719452157617,0.0008592709200456738,0.00028908043168485165,0.0017998911207541823,0.0012937253341078758,0.0018039747374132276,0.0027840631082654,0.0026415425818413496
5,0.0034070282708853483,0.0009169419063255191,0.0009331320761702955,0.00027695868629962206,0.0015784659190103412,1e-04,0.0012023267336189747,0.0012294341577216983,0.00221801339648664,0.002443897072225809,0.003839225973933935,0.0010820453753694892,0.0010173897026106715,0.00037385799805633724,0.0017871400341391563,0.0012114967685192823,0.0013372632674872875,0.0028995508328080177,0.0025362931191921234
6,0.0031319293193519115,0.0008586999610997736,0.0008611439261585474,0.0002548163465689868,0.0014703052584081888,1e-04,0.0011038969969376922,0.0011814855970442295,0.002042221138253808,0.0023282389156520367,0.0032089021988213062,0.000984672806225717,0.0008979231934063137,0.0002448620507493615,0.0015775269130244851,0.0011468653101474047,0.001230378053151071,0.0022733414079993963,0.0026332708075642586
7,0.002874137135222554,0.0007855370058678091,0.0008204877958633006,0.00023718428565189242,0.001365260686725378,1e-04,0.001014849403873086,0.0010496259201318026,0.001878409762866795,0.0022618561051785946,0.00325809046626091,0.0009094594861380756,0.0008785356767475605,0.00027289308491162956,0.0015049594221636653,0.001060320995748043,0.0011055502109229565,0.0020740057807415724,0.0024808160960674286
8,0.002702448284253478,0.0007387063815258443,0.000743779179174453,0.00019942858489230275,0.0012850610073655844,1e-04,0.0009115069988183677,0.0010272911749780178,0.0017830883152782917,0.002174243563786149,0.002703949110582471,0.0008882114198058844,0.0007252452778629959,0.00022035134315956384,0.0013183618430048227,0.0008561729337088764,0.0010417598532512784,0.001887501566670835,0.002223704708740115
9,0.0025592378806322813,0.0007025261293165386,0.0007230668561533093,0.00020028901053592563,0.0012196045136079192,1e-04,0.0008632585522718728,0.0009705807897262275,0.0016788331558927894,0.002059039194136858,0.0028659736271947622,0.0008567786426283419,0.0008095050579868257,0.00019599882944021374,0.0014245384372770786,0.0009345305152237415,0.0011235942365601659,0.0022510597482323647,0.0023588668555021286
