epoch,caudal,eyeL,eyeR,head,loss,lr,nose,spine1,spine2,tail,val_caudal,val_eyeL,val_eyeR,val_head,val_loss,val_nose,val_spine1,val_spine2,val_tail
0,0.009636743925511837,0.00843824539333582,0.008466867730021477,0.004450196400284767,0.008968819864094257,1e-04,0.011133486405014992,0.010543433018028736,0.015359774231910706,0.0037218290381133556,0.009382707066833973,0.0067032077349722385,0.006266423966735601,0.001627279561944306,0.006814868189394474,0.008640539832413197,0.006361758336424828,0.012273612432181835,0.003263405989855528
1,0.009428193792700768,0.005340722855180502,0.005480112507939339,0.0009289706940762699,0.006086353212594986,1e-04,0.007721378933638334,0.005284519400447607,0.010801607742905617,0.0037053097039461136,0.008957522921264172,0.00535601144656539,0.005270266905426979,0.0006873285747133195,0.005212388001382351,0.006616530939936638,0.003277893178164959,0.008113979361951351,0.0034195706248283386
2,0.008405173197388649,0.004546896554529667,0.004600427579134703,0.0008012970210984349,0.004648447036743164,1e-04,0.005652285646647215,0.003082816256210208,0.006650380324572325,0.003448318922892213,0.007195902522653341,0.004134562332183123,0.0042759329080581665,0.001255847280845046,0.003974640276283026,0.004730163142085075,0.0021962050814181566,0.004674045834690332,0.0033344647381454706
3,0.006005814764648676,0.002103200415149331,0.0020720174070447683,0.0006077052094042301,0.0029763414058834314,1e-04,0.003443909576162696,0.0022609978914260864,0.004420477896928787,0.0028966055251657963,0.004430300090461969,0.0024958313442766666,0.002637009136378765,0.0008252754341810942,0.0027237534523010254,0.0025850897654891014,0.0023976904340088367,0.00383969908580184,0.002579131629317999
4,0.004793369211256504,0.0015256759943440557,0.0015885145403444767,0.00043844259926117957,0.0023276973515748978,1e-04,0.0020946229342371225,0.0018840160919353366,0.0035389133263379335,0.002758023561909795,0.00436744699254632,0.001813525683246553,0.0016789701767265797,0.0006392939831130207,0.002323326887562871,0.002164454897865653,0.002049329224973917,0.0032163618598133326,0.002657233504578471
5,0.0038514290936291218,0.0013400239404290915,0.00131932960357517,0.00037666328717023134,0.001921526389196515,1e-04,0.001587161561474204,0.0015781058464199305,0.00290188891813159,0.0024176002480089664,0.0031111238058656454,0.0018818328389897943,0.0018268357962369919,0.00034381935256533325,0.0019472420681267977,0.0020065840799361467,0.0015772536862641573,0.0028817341662943363,0.0019487513927742839
6,0.003731584409251809,0.001063015079125762,0.001045936020091176,0.0003565204096958041,0.0017523153219372034,1e-04,0.0014188719214871526,0.0014495094073936343,0.0025837975554168224,0.0023692899849265814,0.003674174193292856,0.001996002858504653,0.0018530588131397963,0.0005009673186577857,0.0021260790526866913,0.0019277626415714622,0.0017059756210073829,0.003165047848597169,0.002185645280405879
7,0.003736706217750907,0.001190869603306055,0.0012592015555128455,0.0003118078748229891,0.0017619346035644412,1e-04,0.0013333758106455207,0.0013531235745176673,0.0024844100698828697,0.0024259816855192184,0.0035021814983338118,0.002039244631305337,0.0018506504129618406,0.0004991560708731413,0.002149837790057063,0.0017511688638478518,0.001911498256959021,0.00372571824118495,0.0019190816674381495
8,0.0031544039957225323,0.001018930459395051,0.0010067755356431007,0.00028022483456879854,0.0015194532461464405,1e-04,0.001108617871068418,0.0011919875396415591,0.0021669387351721525,0.002227744786068797,0.002979476237669587,0.0017815508181229234,0.0016969075659289956,0.00020408978161867708,0.0018451990326866508,0.0015965268248692155,0.0014847854617983103,0.0028777557890862226,0.0021404954604804516
9,0.002959013916552067,0.0010696790413931012,0.001035339548252523,0.00024693956947885454,0.0014702045591548085,1e-04,0.0010868003591895103,0.0012198170879855752,0.002113508991897106,0.002030529547482729,0.0025576497428119183,0.001827649655751884,0.0015737207140773535,0.00023558734392281622,0.0016822366742417216,0.0015317799989134073,0.0013943302910774946,0.0024669612757861614,0.0018702095840126276
10,0.0028745627496391535,0.0009060599841177464,0.0009240109357051551,0.0002170544903492555,0.0013807539362460375,1e-04,0.0010130901355296373,0.0011118622496724129,0.0019107728730887175,0.0020886228885501623,0.002390987705439329,0.0016092800069600344,0.0015251915901899338,0.00021857638785149902,0.0015874337404966354,0.0013747421326115727,0.0014487361768260598,0.0024150118697434664,0.001716941362246871
11,0.002751905471086502,0.0009767658775672317,0.000992565997876227,0.0002121764118783176,0.0013387779472395778,1e-04,0.0009205132373608649,0.001098579727113247,0.001761139021255076,0.001996574690565467,0.00232024141587317,0.0017711891559883952,0.0015246982220560312,0.00024805840803310275,0.0016311566578224301,0.0014770182315260172,0.0015451292274519801,0.002328679198399186,0.0018342345720157027
