epoch,loss,lr,val_loss
0,0.0008095357334241271,1e-04,0.0007316927658393979
1,0.0005920555558986962,1e-04,0.0005850897287018597
2,0.0005129246856085956,1e-04,0.0005149603821337223
3,0.0004905646201223135,1e-04,0.0005013340269215405
4,0.0004506555269472301,1e-04,0.0004535500193014741
5,0.0003283805272076279,1e-04,0.00024670627317391336
6,0.00023358357429970056,1e-04,0.00024325573758687824
7,0.00020880444208160043,1e-04,0.00020189277711324394
8,0.0001911226281663403,1e-04,0.00023174419766291976
9,0.00016843914636410773,1e-04,0.00017771669081412256
10,0.00016457455058116466,1e-04,0.00016344839241355658
11,0.0001489168353145942,1e-04,0.00016310368664562702
12,0.00014740912592969835,1e-04,0.00015988555969670415
13,0.0001301491865888238,1e-04,0.0001546468847664073
14,0.00013304997992236167,1e-04,0.00014358133194036782
15,0.00012464534665923566,1e-04,0.00015165148943196982
16,0.00012456336116883904,1e-04,0.00014983250002842396
17,0.00012243955279700458,1e-04,0.00015026128676254302
18,0.00012026465265080333,1e-04,0.00013882199709769338
19,0.00010696009121602401,1e-04,0.0001459308696212247
20,0.00011350915883667767,1e-04,0.00014097272651270032
21,0.0001082132657757029,1e-04,0.00016686751041561365
22,9.81822595349513e-05,1e-04,0.00012558000162243843
23,9.367983875563368e-05,1e-04,0.00011560946586541831
24,9.84030484687537e-05,1e-04,0.00013306821347214282
25,9.532162948744372e-05,1e-04,0.000124032812891528
26,9.283096733270213e-05,1e-04,0.00013891739945393056
27,8.706958033144474e-05,1e-04,0.00013692489301320165
28,8.609798533143476e-05,1e-04,0.00011605521285673603
29,7.649578037671745e-05,5e-05,0.00011166118929395452
30,7.789456867612898e-05,5e-05,0.00011379135685274377
31,7.558105426141992e-05,5e-05,0.00010712031507864594
32,7.10682652425021e-05,5e-05,0.00010802239557961002
33,7.462413486791775e-05,5e-05,0.00010840893810382113
34,7.040007039904594e-05,5e-05,0.00010972368181683123
35,6.947371730348095e-05,5e-05,9.795046935323626e-05
36,6.690269219689071e-05,5e-05,0.00010557891800999641
37,6.47621345706284e-05,5e-05,0.00010198794916504994
38,6.74118782626465e-05,5e-05,0.00011152130173286423
39,6.50062138447538e-05,5e-05,0.00010539610957494006
40,6.44590545562096e-05,5e-05,0.00011004868429154158
41,5.959436748526059e-05,2.5e-05,0.00010005426884163171
42,5.971646896796301e-05,2.5e-05,0.00010502573422854766
43,6.081516039557755e-05,2.5e-05,9.922359458869323e-05
44,5.7824850955512375e-05,2.5e-05,0.00010132166062248871
45,5.6581731769256294e-05,2.5e-05,0.00010186346480622888
46,5.826666529173963e-05,2.5e-05,0.00010038410255219787
47,5.794838580186479e-05,2.5e-05,0.00010145004489459097
48,5.537183824344538e-05,1.25e-05,9.806282469071448e-05
49,5.3801853937329724e-05,1.25e-05,0.00010261720308335498
50,5.59133586648386e-05,1.25e-05,0.00010438570461701602
51,5.636221249005757e-05,1.25e-05,9.805803711060435e-05
52,5.421473542810418e-05,1.25e-05,9.856770338956267e-05
53,5.457834049593657e-05,1.25e-05,9.43866471061483e-05
54,5.207634239923209e-05,1.25e-05,0.00010213317000307143
55,5.532848081202246e-05,1.25e-05,9.892054367810488e-05
56,5.4138996347319335e-05,1.25e-05,9.6074742032215e-05
57,5.191740274312906e-05,1.25e-05,9.873901581158862e-05
58,5.24786846654024e-05,1.25e-05,9.814905206440017e-05
59,5.0540016673039645e-05,6.25e-06,0.00010227020538877696
60,5.224313281360082e-05,6.25e-06,9.358500392409042e-05
61,5.511397102964111e-05,6.25e-06,9.63366255746223e-05
62,5.0851165724452585e-05,6.25e-06,8.98783837328665e-05
63,4.869622352998704e-05,6.25e-06,9.8900192824658e-05
64,5.165153197594918e-05,6.25e-06,9.78055686573498e-05
65,5.245789361651987e-05,6.25e-06,9.722380491439253e-05
66,4.967070708516985e-05,6.25e-06,9.9521319498308e-05
67,5.061123374616727e-05,6.25e-06,9.998359018936753e-05
68,4.7794088459340855e-05,3.125e-06,0.00010287285113008693
69,5.20878893439658e-05,3.125e-06,9.495700942352414e-05
70,5.065912409918383e-05,3.125e-06,0.00010171066969633102
71,5.1353265007492155e-05,3.125e-06,8.955845260061324e-05
72,4.955727490596473e-05,3.125e-06,9.567716188030317e-05
73,4.937137782690115e-05,3.125e-06,0.00010146750719286501
74,5.0694703531917185e-05,3.125e-06,9.700396913103759e-05
75,4.974013063474558e-05,1.5625e-06,9.789658361114562e-05
76,4.9126523663289845e-05,1.5625e-06,9.992033301386982e-05
77,4.856165105593391e-05,1.5625e-06,9.870177018456161e-05
78,5.116680767969228e-05,1.5625e-06,9.808321192394942e-05
79,4.7430727136088535e-05,1.5625e-06,9.277982462663203e-05
80,4.9631773435976356e-05,1.5625e-06,9.571290138410404e-05
81,4.772856482304633e-05,1.5625e-06,9.984437201637775e-05
82,5.143615271663293e-05,7.8125e-07,9.691187733551487e-05
83,4.8763336963020265e-05,7.8125e-07,9.91776178125292e-05
84,5.1054175855824724e-05,7.8125e-07,9.802213753573596e-05
85,4.594900019583292e-05,7.8125e-07,0.00010291425860486925
86,4.9310630856780335e-05,7.8125e-07,9.49618115555495e-05
87,5.059612885816023e-05,7.8125e-07,9.706104174256325e-05
88,4.928407724946737e-05,7.8125e-07,9.502781176706776e-05
89,4.8655183491064236e-05,3.90625e-07,0.00010049736010842025
90,4.851338962907903e-05,3.90625e-07,0.00010435638978378847
91,4.949729554937221e-05,3.90625e-07,9.455489635001868e-05
