"","ID","variable","value"
"1",1,"V1",0
"2",7,"V1",0.69883531332016
"3",8,"V1",0.633619487285614
"4",64,"V1",0.694501221179962
"5",70,"V1",0.694624781608582
"6",74,"V1",0.652203321456909
"7",75,"V1",0.599752366542816
"8",81,"V1",0.548844873905182
"9",95,"V1",0.69234174489975
"10",198,"V1",0.659347116947174
"11",199,"V1",0.551746606826782
"12",206,"V1",0.698585748672485
"13",212,"V1",0.699356436729431
"14",214,"V1",0.655152857303619
"15",226,"V1",0.572838187217712
"16",285,"V1",0.665965914726257
"17",292,"V1",0.578182816505432
"18",304,"V1",0.686679005622864
"19",306,"V1",0.48869451880455
"20",315,"V1",0.535397171974182
"21",335,"V1",0.676077485084534
"22",356,"V1",0.543267250061035
"23",357,"V1",0.631333947181702
"24",358,"V1",0.687036216259003
"25",380,"V1",0.609024286270142
"26",381,"V1",0.545934021472931
"27",382,"V1",0.681695759296417
"28",383,"V1",0.595798909664154
"29",385,"V1",0.637012243270874
"30",437,"V1",0.656672954559326
"31",525,"V1",0.672898590564728
"32",633,"V1",0.652007281780243
"33",634,"V1",0.580640375614166
"34",635,"V1",0.628454744815826
"35",662,"V1",0.545168340206146
"36",663,"V1",0.609646499156952
"37",664,"V1",0.598798155784607
"38",668,"V1",0.594868063926697
"39",670,"V1",0.610491394996643
"40",671,"V1",0.654506623744965
"41",674,"V1",0.63332188129425
"42",675,"V1",0.656012654304504
"43",678,"V1",0.638157248497009
"44",680,"V1",0.67087185382843
"45",683,"V1",0.675458490848541
"46",684,"V1",0.488623380661011
"47",685,"V1",0.628768682479858
"48",691,"V1",0.685526072978973
"49",772,"V1",0.692923605442047
"50",811,"V1",0.629623651504517
"51",816,"V1",0.621066510677338
"52",821,"V1",0.667806565761566
"53",825,"V1",0.687752604484558
"54",947,"V1",0.658605098724365
"55",1070,"V1",0.674933612346649
"56",1072,"V1",0.668011367321014
"57",1143,"V1",0.678203046321869
"58",1781,"V1",0.67514443397522
"59",1964,"V1",0.62453293800354
"60",1972,"V1",0.646965384483337
"61",1974,"V1",0.685792088508606
"62",2174,"V1",0.508750975131989
"63",2175,"V1",0.392503142356873
"64",2191,"V1",0.648144543170929
"65",2200,"V1",0.666040599346161
"66",2201,"V1",0.658758997917175
"67",2203,"V1",0.507332563400269
"68",2207,"V1",0.567523956298828
"69",2208,"V1",0.523486495018005
"70",2221,"V1",0.581949293613434
"71",2258,"V1",0.664258003234863
"72",2277,"V1",0.533127009868622
"73",2281,"V1",0.662050366401672
"74",2401,"V1",0.421392500400543
"75",2459,"V1",0.55033141374588
"76",2498,"V1",0.672601819038391
"77",2581,"V1",0.640016913414001
"78",2656,"V1",0.268522620201111
"79",2657,"V1",0.592818200588226
"80",2658,"V1",0.502019286155701
"81",2659,"V1",0.589888513088226
"82",2672,"V1",0.675243377685547
"83",2696,"V1",0.590559124946594
"84",2712,"V1",0.522053897380829
