"","ID","variable","value"
"1",1,"V1",0
"2",409,"V1",0.667954564094543
"3",454,"V1",0.570785641670227
"4",487,"V1",0.638872683048248
"5",636,"V1",0.698985278606415
"6",642,"V1",0.66176563501358
"7",816,"V1",0.606792390346527
"8",836,"V1",0.649757504463196
"9",837,"V1",0.661555469036102
"10",896,"V1",0.571911573410034
"11",897,"V1",0.449726402759552
"12",898,"V1",0.648952960968018
"13",899,"V1",0.593132078647614
"14",901,"V1",0.642128705978394
"15",1037,"V1",0.423064917325974
"16",1038,"V1",0.555604100227356
"17",1041,"V1",0.0886194631457329
"18",1070,"V1",0.690959095954895
"19",1071,"V1",0.62440299987793
"20",1076,"V1",0.665808796882629
"21",1082,"V1",0.609957993030548
"22",1501,"V1",0.69693511724472
"23",1504,"V1",0.621221899986267
"24",1505,"V1",0.539880514144897
"25",1506,"V1",0.616275668144226
"26",1507,"V1",0.666234970092773
"27",1508,"V1",0.688036322593689
"28",1827,"V1",0.60027676820755
"29",1828,"V1",0.511328816413879
"30",1829,"V1",0.641769587993622
"31",1831,"V1",0.69543594121933
"32",2289,"V1",0.679168820381165
"33",2398,"V1",0.697498142719269
"34",2514,"V1",0.697127759456635
"35",2538,"V1",0.445128738880157
"36",2544,"V1",0.683330416679382
"37",2546,"V1",0.691044449806213
"38",2548,"V1",0.611975491046906
"39",2577,"V1",0.647323966026306
"40",2714,"V1",0.655860662460327
"41",3545,"V1",0.558525800704956
"42",3546,"V1",0.674536824226379
"43",3688,"V1",0.56184321641922
"44",3689,"V1",0.623445093631744
"45",3705,"V1",0.642120897769928
"46",3839,"V1",0.680053532123566
"47",3859,"V1",0.67660117149353
"48",3860,"V1",0.607193827629089
"49",3865,"V1",0.588886618614197
"50",3866,"V1",0.643786013126373
"51",3871,"V1",0.699328899383545
"52",3902,"V1",0.657107949256897
"53",3911,"V1",0.534046113491058
"54",3914,"V1",0.697479367256165
"55",3917,"V1",0.684394478797913
"56",3953,"V1",0
"57",3965,"V1",0
"58",3991,"V1",0
"59",4000,"V1",0
"60",4007,"V1",0
"61",4019,"V1",0.150022611021996
"62",4082,"V1",0.662038564682007
"63",4084,"V1",0.512037217617035
"64",4094,"V1",0
"65",4095,"V1",0.14589461684227
"66",4096,"V1",0.393635809421539
"67",4097,"V1",0.422773420810699
"68",4098,"V1",0.474238365888596
"69",4099,"V1",0.494078576564789
"70",4100,"V1",0.357488840818405
"71",4101,"V1",0.500905513763428
"72",4102,"V1",0.567378580570221
"73",4103,"V1",0.655315101146698
"74",4104,"V1",0.64241486787796
"75",4105,"V1",0.661586403846741
"76",4107,"V1",0.4870485663414
"77",4108,"V1",0.433716624975204
"78",4109,"V1",0.421715497970581
"79",4110,"V1",0.532443404197693
"80",4111,"V1",0.579418122768402
"81",4112,"V1",0.530872404575348
"82",4113,"V1",0.66593337059021
"83",4115,"V1",0.6357541680336
"84",4134,"V1",0.606035649776459
"85",4135,"V1",0.472310483455658
"86",4136,"V1",0.41166940331459
"87",4137,"V1",0.627450227737427
"88",4139,"V1",0.612061977386475
"89",4142,"V1",0.477198004722595
"90",4143,"V1",0.177899122238159
"91",4144,"V1",0.13570262491703
"92",4145,"V1",0.276650696992874
"93",4146,"V1",0.300782531499863
