epoch,caudal,eyeL,eyeR,head,loss,lr,nose,spine1,spine2,tail,val_caudal,val_eyeL,val_eyeR,val_head,val_loss,val_nose,val_spine1,val_spine2,val_tail
0,0.013329011388123035,0.013248372822999954,0.013248954899609089,7.504718814743683e-05,0.0099357133731246,1e-04,0.014205996878445148,0.00010955503239529207,0.011472165584564209,0.013796615414321423,0.012648111209273338,0.00923799816519022,0.009161610156297684,4.8539375711698085e-05,0.007953055202960968,0.010848775506019592,0.00014938281674403697,0.006925761699676514,0.014604262076318264
1,0.011092431843280792,0.006792677100747824,0.006768322549760342,8.522583812009543e-05,0.006453839596360922,1e-04,0.007224466651678085,0.00013406765356194228,0.00677679106593132,0.012756713666021824,0.009463461115956306,0.005583837628364563,0.0059622107073664665,0.00010515881876926869,0.005536891054362059,0.0063453190959990025,6.53079550829716e-05,0.004552219994366169,0.012217610143125057
2,0.009138657711446285,0.004307430703192949,0.004277762025594711,0.0001051815997925587,0.004880869761109352,1e-04,0.004732679575681686,9.948844672180712e-05,0.005108456127345562,0.011277309618890285,0.008796283043920994,0.0031155336182564497,0.0030652834102511406,7.487269613193348e-05,0.004199459217488766,0.0041648936457931995,8.938537939684466e-05,0.0034594142343848944,0.010830003768205643
3,0.005475678481161594,0.0030369244050234556,0.003103821538388729,6.818079418735579e-05,0.0032696586567908525,1e-04,0.0027983607724308968,0.00011485435243230313,0.0031541234347969294,0.008405325002968311,0.004190984647721052,0.0026378738693892956,0.0031127433758229017,7.279151759576052e-05,0.002806865843012929,0.002868873532861471,6.89120715833269e-05,0.0029376111924648285,0.006565139163285494
4,0.0034743216820061207,0.0022365711629390717,0.0022408533841371536,5.356374094844796e-05,0.002288245130330324,1e-04,0.0020138523541390896,7.537956116721034e-05,0.002246689284220338,0.005964732728898525,0.003210206748917699,0.0021200210321694613,0.002021217718720436,4.54264045401942e-05,0.002175703877583146,0.0025728533510118723,4.809088204638101e-05,0.0024656227324157953,0.004922189749777317
5,0.0028315407689660788,0.0018650857964530587,0.0018405772279947996,4.017445826320909e-05,0.0018919386202469468,1e-04,0.00172338355332613,8.940178668126464e-05,0.0018498576246201992,0.004895487800240517,0.003034488530829549,0.001750210882164538,0.001676842337474227,3.246389314881526e-05,0.0019219565438106656,0.002317566191777587,3.74620794900693e-05,0.0020899814553558826,0.004436634946614504
6,0.0025062053464353085,0.00189415633212775,0.001905328594148159,3.280143573647365e-05,0.0017590165371075273,1e-04,0.0016734082018956542,5.671549297403544e-05,0.001589212566614151,0.004414306487888098,0.0027027761097997427,0.001996866660192609,0.0019431724213063717,3.612751606851816e-05,0.0019898454193025827,0.0023110469337552786,3.078418376389891e-05,0.002340452978387475,0.004557535517960787
7,0.0022429150994867086,0.0017379831988364458,0.0017401454970240593,2.8506248781923205e-05,0.001622909214347601,1e-04,0.0014902889961376786,9.951966057997197e-05,0.0016183995176106691,0.004025510512292385,0.003229135414585471,0.0019330634968355298,0.0020048709120601416,2.693317765078973e-05,0.002027541631832719,0.002287041861563921,2.4974948246381246e-05,0.002282296307384968,0.004432015120983124
8,0.002073280280455947,0.0015631072456017137,0.001591747161000967,2.556848085077945e-05,0.0014641945017501712,1e-04,0.001335672102868557,4.910175266559236e-05,0.0014204074395820498,0.0036546748597174883,0.0023886803537607193,0.0016247979365289211,0.00172139098867774,2.6236164558213204e-05,0.0016415590653195977,0.0019056848250329494,2.5256922526750714e-05,0.0017519218381494284,0.003688500262796879
9,0.0017148875631392002,0.0014477802906185389,0.0014534054789692163,2.3346097805188037e-05,0.001298320945352316,1e-04,0.001210254617035389,7.112379535101354e-05,0.0012998449383303523,0.00316592282615602,0.0024377265945076942,0.0016120809596031904,0.0014619716675952077,2.345208304177504e-05,0.0015408125473186374,0.0019067235989496112,3.169118281221017e-05,0.001593993278220296,0.0032588616013526917
10,0.0016294216038659215,0.0014236423885449767,0.0014143033185973763,2.0640554794226773e-05,0.00123322824947536,1e-04,0.0011914559872820973,6.98778239893727e-05,0.0012129317037761211,0.002903551096096635,0.0024514133110642433,0.001580496202223003,0.0014921471010893583,2.111107278324198e-05,0.00155730196274817,0.0018916340777650476,2.1064151951577514e-05,0.0016992874443531036,0.003301260294392705
11,0.0015646282117813826,0.0013985286932438612,0.0014209174551069736,2.012999539147131e-05,0.0011893183691427112,1e-04,0.0010786323109641671,4.469105988391675e-05,0.0012410038616508245,0.0027460111305117607,0.002049420727416873,0.0012604444054886699,0.0011294233845546842,2.0249661247362383e-05,0.0013620430836454034,0.0016244961880147457,2.027933624049183e-05,0.001530993147753179,0.003261036705225706
